comment,todaysWgt,sirename,racetime,record_1,L2comment,L5lbw,L1sp,L2racecourse,ClassL3,ClassL2,ClassL1,raceclass,L2pos,ClassL5,ClassL4,L4going,racecourse,L1dist,diomed,horsenumber,pedigreecomment,pmL3,pedstats,L5sp,sirecomment,L2raceoutcome,record_2_stats,L3dist,L3comment,timestamp,L5ran,L1going,L1pos,L4lbw,racepm,L3sp,record_3_stats,Family,L3pos,L3ran,L1raceoutcome,L1comment,CD,record_4_stats,L5comment,L5going,L4pos,record_1_stats,L5raceoutcome,DI,L3going,L2lbw,todaysWgt_dec,L2dist,L4dist,L1racecourse,WGTL3,WGTL2,WGTL1,racedate,record_5_stats,WGTL5,WGTL4,rpOR,L1lbw,dayssincelastrun,rpTS,racegoing,L3raceoutcome,racename,rpRPR,L4ran,L2ran,L1ran,L2going,L4sp,Pedprizemoney,pmL5,pmL4,L5pos,barrier,pmL2,L3lbw,record_4,record_5,record_2,record_3,L5dist,racedistance,horsename,L4comment,L3racecourse,hage,L2sp,bestodds,L4raceoutcome,pmL1,L4racecourse,L5racecourse
On long losing run and best watched despite some fair runs in defeat,,,2:00,Flat Turf,"held up in rear, effort on inner and hampered over 1f out, headway 1f out, stayed on well under pressure, snatched 3rd on post, no chance with winner",2,3.0,Cfd,C6Hc 1K,C6Hc 2K,C6Hc 2K,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,3,C6Hc 2K,C6Hc 2K,St,Lingfield (AW),7.0, Money for Norwegian Reward after his absence would look significant but CHARLIES MATE comes here on the back of a couple of sound efforts and could prove the answer. ,8,Owner: T. H. Rossiter(CLOSE),1K,"(GB) b. F, 2007 {4-n} DP = 1-1-9-1-0 (12)  DI = 1.18  CD = 0.17",6.0,"high-class over 6-8f at 2-3, brother to Dr Fong, sired Art Connoisseur; died 2010",3/13 (60.75L Caledonia Laird 9-3) 50/1,": :18:0:1:5:£0:£2,522: 50 : 58 : 44",7.0,"towards rear, some headway on inner well over 2f out, soon ridden along and never dangerous",2015-04-08 10:02:27.588139,9,St,4,5¼,3K,5.0,": :55:7:3:9:£15,080:£23,102: - : - : -",,7,13,4/11 (30.25L Indian Affair 9-2) 12/1,"prominent, ridden over 1f out, stayed on same pace inside final furlong",0.17,,"chased leaders, effort under pressure on inner over 1f out, ran on same pace inside final furlong",St,5,": :37:7:2:4:£15,080:£20,579: 69 : 76 : 58",4/9 (2L Spinning Cobblers 9-6) 25/1,1.18,St,6¾,,8.0,5.0,Wol,8-9,8-12,8-12,2015-04-08,,8-4,8-9,45,3¼,16,49,Std,7/13 (100.5L Interchoice Star 9-6) 14/1,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,65,12,13,11,St,9.0,,2K,2K,4,11,2K,10½,,,All-weather,Rules Races,7.0,8.0,OLNEY LASS,"held up, headway on outer over 2f out, ridden over 1f out, no extra inside final furlong",Sth,8,1.0,,5/12 (50.25L Lord Of The Storm 8-11) 28/1,2K,Wol,Lin
Yet to fire this winter and best watched once more,,,2:00,Flat Turf,"in touch in midfield, ridden over 1f out, kept on but no threat to leaders inside final furlong",15½,1.0,Cfd,C7Hc 1K,C6Hc 2K,C6Hc 2K,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,7,C6Hc 2K,C6Hc 1K,St,Lingfield (AW),8.0, Money for Norwegian Reward after his absence would look significant but CHARLIES MATE comes here on the back of a couple of sound efforts and could prove the answer. ,10,(CLOSE),1K,,6.0,"high-class sprinter, close relation of Green Desert, good source of 2yos, some decent",7/11 (40.25L Satchville Flyer 9-5) v 25/1,": :39:3:2:4:£5,785:£7,727: 59 : 65 : 42",8.0,"took keen hold, prominent, led 5f out, headed and weakened over 1f out",2015-04-08 10:02:27.592152,9,St,1,17½,3K,6.0,": :50:3:2:6:£5,785:£8,689: - : - : -",,7,13,11/13 (120.5L Caledonia Laird 9-3) v 50/1,"chased leader, ridden to lead 2f out, soon headed and beaten, weakened final furlong",,,"detached in last and not going well after 3f, always behind",St,9,: :11:0:0:2:£0:£963: 56 : 62 : 42,8/9 (150.5L Glennten 8-12) v 25/1,,St,4¼,,6.0,0.0,Cfd,9-2,9-1,8-12,2015-04-08,,8-9,8-12,45,12½,48,48,Std,7/13 (60.75L Henry Grace 9-4) v 25/1,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,60,11,11,13,St,7.0,,2K,1K,8,3,2K,6¾,,,All-weather,Rules Races,0.0,8.0,CHANDRAYAAN,"led and soon clear at strong pace, headed and weakened rapidly just over 2f out",Kem,8,6.0,,9/11 (170.5L Sabre Rock 9-0) v 66/1,2K,Lin,Lin
Well handicapped C&D winner and 7f too sharp when close third last time.,,,9:15,Flat Turf,"tracked leaders, cruised up to challenge over 2f out, soon shaken up and found nil, weakened tamely over 1f out",1¾,5.0,Kem,C5Hc 3K,C6Hc 2K,C5Hc 2K,  32Red On The App Store Handicap  (CLASS 6) (4yo+ 0-65) ,7,C6Hc 1K,C5Hc 3K,St,Kempton (AW),7.0,"  FLAMBOROUGH BREEZE hasn´t won for a while but has been threatening to and confirmed her current wellbeing with a solid effort over an inadequate 7f here last time. Barbary , hopefully all the better for a break, heads the dangers. Berrahri was well below form yesterday, albeit with an excuse racing wide. ",5,"Owner: A. M. Pickering Winnings: 40 Starts: 4 -  - , £14,318(CLOSE)",3K,"(GB) ro. F, 2009 {10-a} DP = 4-4-9-1-0 (18)  DI = 2.27  CD = 0.61 - 40 Starts, 4 Wins,  Places,  Shows   £14,318",3.0,"won 6f Middle Park Stakes and 1m Queen Anne Stakes, by Danzig, first 2yos 2010",7/7 (7L Boboli Gardens 9-4) tb 5/2F,": :35:4:6:7:£7,526:£14,655: 74 : 82 : 61",8.0,"prominent, tracked leader 5f out, ridden to lead 2f out but immediately hung right on bend and headed, soon in 3rd, kept on to take 2nd inside final furlong, no chance with winner",2015-04-08 10:02:28.134118,9,St,3,3¾,3K,9.0,": :43:4:7:7:£7,526:£15,714: - : - : -",,2,7,3/6 (0.5L Elusive Ellen 9-3) tb 4/1,"steadied start, held up in last, cajoled along over 2f out, still last 1f out, finally ran on final furlong, closing quickly at finish",0.61,,"slowly away, in last pair, pushed along over 3f out, asked to make progress but hung in behind rival over 1f out, driven and ran on to take 4th inside final furlong, no chance",St,4,": :8:0:1:0:£0:£1,059: 63 : 74 : 58",4/9 (10.75L What A Dandy 9-3) t 2/1F,2.27,St,7,,8.0,7.0,Kem,8-13,9-3,8-13,2015-04-08,,9-5,8-9,61,½,14,64,Std,2/7 (30.75L Chelwood Gate 9-7) tb 8/1,  32Red On The App Store Handicap  (CLASS 6) (4yo+ 0-65) ,77,11,7,6,St,4.0,,1K,3K,4,10,2K,3¾,,,All-weather,Rules Races,8.0,8.0,FLAMBOROUGH BREEZE,"held up towards rear, cajoled along to make some progress from 2f out, ridden and kept on same pace final furlong",Lin,6,3.0,,4/11 (30.75L Hill Of Dreams 8-12) tb 17/2,2K,Kem,Kem
Only 2lb higher than for last course win and possibly best caught fresh.,,,9:15,Flat Turf,"held up in touch, effort under pressure over 1f out, led 1f out, stayed on well, driven out",4¼,9.0,Kem,C6Hc 1K,C6Hc 1K,C6Hc 1K,  32Red On The App Store Handicap  (CLASS 6) (4yo+ 0-65) ,1,C53yHc 3K,C6Hc 3K,GF,Kempton (AW),8.0,"  FLAMBOROUGH BREEZE hasn´t won for a while but has been threatening to and confirmed her current wellbeing with a solid effort over an inadequate 7f here last time. Barbary , hopefully all the better for a break, heads the dangers. Berrahri was well below form yesterday, albeit with an excuse racing wide. ",7,At 2: National Produce Stakes in IrelandExported to New Zealand(CLOSE),1K,"(IRE) b. M, 1855 {32} DP = 0-0-0-0-0 (0)  DI = Inf  CD = Inf",7.0,"won 7 Group 1s at 2-3, from 7f to 1m, capable of siring high-class 2yos, progeny also progress well",1/12 (nk Carrera 8-8) 9/4F,": :8:2:0:0:£4,668:£4,956: 53 : 63 : 59",8.0,"chased leaders, ridden to challenge 2f out, every chance after until no extra and beaten when short of room towards finish",2015-04-08 10:02:28.137991,13,St,4,14½,3K,7.0,": :12:2:0:0:£4,668:£4,956: - : - : -",,5,9,4/12 (4L Meddling 9-3) 8/1,"well in touch, close up 2f out, not quicken over 1f out, one pace after",N/A,,"held up, headway over 6f out, ridden over 2f out, no extra final furlong",St,0,: :4:0:0:0:£0:£0: 41 : 55 : 59,8/13 (40.25L Starlit Cantata 9-5) 16/1,N/A,St,,,8.0,5.0,Lin,8-13,9-2,8-10,2015-04-08,,8-12,9-0,59,4,119,59,Std,5/9 (10.75L Celestial Knight 9-2) 6/1,  32Red On The App Store Handicap  (CLASS 6) (4yo+ 0-65) ,74,13,12,12,St,1.0,,3K,3K,8,5,1K,1¾,,,All-weather,Rules Races,0.0,8.0,BARBARY,"prominent, ridden over 2f out, hampered over 1f out, soon weakened",Kem,4,3.0,,10/13 (140.5L Botanist 9-1) 10/1,1K,Lei,Lin
Yet to add to 2yo maiden win but on handy mark if blinkers have desired effect.,,,5:00,Flat Turf,"led 3f and again over 2f out, driven and headed 1f out, one pace",31,3.0,Kem,C4Hc 5K,C4Hc 4K,C5Hc 2K,  South London & Proud Fillies´ Handicap  (CLASS 5) (4yo+ 0-75) ,4,C4Hc 6K,C5Hc 2K,St,Lingfield (AW),5.0," The suggestion is LADY MARL , who met traffic and was arguably a shade unfortunate off today´s mark over C&D 12 days ago. ",4,(CLOSE),5K,,4.0,"unbeaten minor winner at 2, top-class miler at 3; excellent source of 2yo winners, progeny progress",4/9 (20.25L Puzzle Time 9-0) 16/1,": :4:0:0:0:£0:£1,010: 56 : 76 : 69",8.0,"tracked leading trio, ridden over 2f out, not quicken over 1f out, kept on inside final furlong",2015-04-08 10:02:23.697864,15,St,4,23,4K,4.0,: :1:0:0:0:£0:£0: - : 26 : 69,,4,8,4/4 (20.25L Sonnetation 9-7) 2/1,"led, shaken up and hung right well over 1f out, soon headed, stayed on same pace inside final furlong",,": :16:1:2:2:£2,264:£25,739: - : - : -","chased leaders, ridden along halfway, soon weakened",Sf,8,": :12:1:2:2:£2,264:£24,729: 70 : 80 : 69",14/15 (31L Comino 9-0) 33/1,,St,2¼,,0.0,8.0,Wol,8-10,8-7,9-5,2015-04-08,,9-3,9-6,69,2¼,13,66,Std,4/8 (10.5L Maiden Approach 9-1) 33/1,  South London & Proud Fillies´ Handicap  (CLASS 5) (4yo+ 0-75) ,86,8,9,4,St,5.0,,6K,2K,4,4,4K,1½,Rules Races,,All-weather,Stakes,7.0,8.0,ATLANTIC AFFAIR,"close up, pushed along and lost place before halfway, in rear after",Lin,4,7.0,,8/8 (23L Queen Of Skies 8-9) 14/1,2K,Sth,Cat
Bred to stay very well and yard had big-priced winning newcomer here recently,,,4:30,,,,,,,,,  Haslemere Building Company Maiden Stakes  (CLASS 5) (3yo) ,,,,,Lingfield (AW),,"  Simple Verse sets the standard but it isn´t an overly demanding one and the well-bred colt MARMION is taken to make a winning debut. A half-brother to three winners who have run to an RPR in excess of 90, he looks the part on paper and is starting out at a realistic level. ",2,"Winnings: 21 Starts: 2 - 1 - 4, $56,4082nd: Pr De Guiche-G3 (FR)  3rd: Pr Maurice Caillault (FR), Pr Niceas (FR)Sent To France, Sent To South Africa. Photo: http://www.sporthorse-data.com/horse/10069984/246/Horse_Trigger_Finger-big.jpg(CLOSE)",,"(USA) ch. H, 1984 {5-g} DP = 19-4-25-0-0 (48)  DI = 2.84  CD = 0.88 - 21 Starts, 2 Wins, 1 Places, 4 Shows   $56,408",,"useful 2yo, later top-class stayer, dual-purpose sire, sired a handful of Flat winners",,,,,2015-04-08 10:02:24.187144,,,,,4K,,,,,,,,0.88,,,,,,,2.84,,,,,,,,,,2015-04-08,,,,0,,,0,Std,,  Haslemere Building Company Maiden Stakes  (CLASS 5) (3yo) ,0,,,,,,,,,,1,,,,,,,,12.0,TRIGGER FINGER,,,3,,,,,,
Not the force of old and likely best watched back from an absence,,,2:00,Flat Turf,always towards rear,7½,4.0,Lin,C6Hc 2K,C6Hc 2K,C6Hc 2K,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,0,C5Hc 2K,C5Hc 3K,St,Lingfield (AW),8.0, Money for Norwegian Reward after his absence would look significant but CHARLIES MATE comes here on the back of a couple of sound efforts and could prove the answer. ,3,Owner: Hesmonds Stud   Breeder: Hesmonds Stud Ltd.foaled 3/19/04. [30Jun07](CLOSE),2K,"(GB) b. G, 2004 {1-n} DP = 7-9-16-2-0 (34)  DI = 2.40  CD = 0.62 - 3 Starts, 0 Wins, 0 Places, 1 Shows   £818",4.0,"high-class 2yo, brother to Zafonic, capable of siring high-class 2yos, sire of Zarkava",10/13 (80.75L Nelson Quay 9-7) t 25/1,": :53:8:4:5:£35,505:£48,014: 99 : 101 : 53",8.0,"held up in last, still there 2f out but going better than many, ridden over 1f out, kept on but no chance",2015-04-08 10:02:27.577710,10,St,9,9,3K,6.0,": :70:9:4:7:£38,744:£53,178: - : - : -",,5,7,9/10 (70.5L Meddling 9-2) t 33/1,"mostly in midfield, outpaced and ridden when bumped over 2f out, no danger after",0.62,,"broke well, soon steadied to chase leader, 3rd and ridden 2f out, beaten entering final furlong, faded final 150yds",St,0,": :17:1:0:2:£3,239:£5,164: 81 : 83 : 46",6/10 (70.5L Fleckerl 9-4) t 33/1,2.40,St,8¾,,0.0,8.0,Lin,9-0,8-12,9-5,2015-04-08,,8-9,8-11,53,7½,341,0,Std,5/7 (3L Cravat 9-7) t 25/1,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,65,11,13,10,St,4.0,,2K,3K,6,10,2K,3,,,All-weather,Rules Races,8.0,8.0,TITAN TRIUMPH,"held up in touch towards rear, ridden and no impression over 1f out, never dangerous",Lin,11,6.0,,10/11 (9L Club House 8-10) t 33/1,2K,Lin,Lin
Not fully exposed but new headgear and longer trip need to spark improvement,,,2:00,Flat Turf,"chased leaders, ridden 2f out, unable to quicken over 1f out, weakened inside final furlong",14½,9.0,Kem,C63yHc 2K,C5Hc 2K,C6Hc 2K,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,7,C5Md 2K,C6Hc 2K,St,Lingfield (AW),7.0, Money for Norwegian Reward after his absence would look significant but CHARLIES MATE comes here on the back of a couple of sound efforts and could prove the answer. ,2,"Breeder: Norelands Stud, NSW Winnings: 15 Starts: 9 - 1 - 2, A$727,356New Zealand 2,000 Guineas (G1T-NZ)1600m, Telegraph H (G1T-NZ)1200m, Family Hotels WFA S (G1T-NZ)1400mStands at Windsor Park Stud, New Zealand; to Bush Hill Stud, South Africa.(CLOSE)",2K,"(AUS)  ch. H, 2000 {1-l} DP = 9-1-10-4-0 (24)  DI = 1.67  CD = 0.63 - 15 Starts, 9 Wins, 1 Places, 2 Shows   A$727,356",6.0,"high-class 6-8f colt on dirt/turf in US, a leading US sire, can get top-class 2yos; progeny progress",7/10 (4L Ocean Legend 9-5) p 16/1,: :4:0:0:0:£0:£168: 48 : 58 : 53,7.0,"slowly into stride, held up in last trio, effort over 2f out, no impression until stayed on inside final furlong, never troubled leaders",2015-04-08 10:02:27.575663,11,St,6,6¾,3K,6.0,: :7:0:0:0:£0:£517: - : - : -,,4,11,6/8 (80.25L Major Muscari 9-1) v1 8/1,"held up off the pace in midfield, effort just over 2f out, never troubled leaders",0.63,,"always towards rear, shaken up and off the pace over 2f out, steadily weakened",Sf,9,: :3:0:0:0:£0:£349: 43 : 58 : 53,9/11 (140.5L Lady Brigid 9-0) 25/1,1.67,St,4,,7.0,6.0,Lin,8-8,8-9,8-13,2015-04-08,,9-5,9-3,53,8¼,67,57,Std,4/11 (40.5L Rememberance Day 9-3) 25/1,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,67,13,10,8,St,9.0,,2K,2K,9,5,2K,4½,,,All-weather,Rules Races,6.0,8.0,KINGS CHAPEL,"slowly into stride, soon mid-division, ridden halfway, never dangerous",Kem,4,7.0,,9/13 (60.75L Avonmore Star 9-4) 18/1,2K,Wol,Wdr
Minor promise in 3 maidens last spring; this more suitable and is unexposed,,,2:00,All-weather,"settled in 7th and off the pace, pushed along over 2f out, threatened to close over 1f out, one pace after",,7.0,Kem,C5Md 2K,C5Md 2K,C5Md 2K,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,7,,,,Lingfield (AW),8.0, Money for Norwegian Reward after his absence would look significant but CHARLIES MATE comes here on the back of a couple of sound efforts and could prove the answer. ,1,(CLOSE),2K,,,"high-class sprinter, close relation of Green Desert, good source of 2yos, some decent",7/10 (70.25L Emaratiya Ana 8-11) 66/1,: :3:0:0:0:£0:£0: - : - : -,8.0,"slowly away, in rear, moderate progress from over 1f out",2015-04-08 10:02:27.573455,,St,8,,3K,7.0,,,7,10,8/11 (120.5L Cameo Tiara 8-13) 66/1,mid-division until weakened 2f out,,,,,,: :3:0:0:0:£0:£0: 28 : 57 : 55,,,St,7¼,,8.0,,Kem,9-9,10-0,10-0,2015-04-08,,,,55,12½,371,0,Std,7/10 (140.5L Born In Bombay 8-9) 66/1,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,64,,10,11,St,,,,,,7,2K,14½,,,Rules Races,,,8.0,KOVOLINI,,Kem,5,7.0,,,2K,,
Gone backwards after promising return; blinkers tried but too risky for comfort,,,2:00,Flat Turf,"held up, headway under pressure over 1f out, not trouble leaders",8¼,7.0,Wol,C6Hc 2K,C6Hc 2K,C6Hc 2K,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,6,C62ySl 1K,C62yHc 1K,Gd,Lingfield (AW),0.0, Money for Norwegian Reward after his absence would look significant but CHARLIES MATE comes here on the back of a couple of sound efforts and could prove the answer. ,6,(CLOSE),2K,,3.0,"useful multiple 7-8f winner at 2-4 in France, from excellent family; good strike rate with 2yos",6/13 (50.25L Lendal Bridge 9-12) 25/1,: :3:0:0:0:£0:£192: 45 : 54 : 49,7.0,"hampered early, held up, ridden over 3f out, headway over 1f out, stayed on inside final furlong, edged right towards finish, not reach leaders",2015-04-08 10:02:27.584190,5,St,9,24,3K,1.0,": :11:1:0:1:£2,264:£3,996: - : - : -",,4,10,9/11 (23L Sail Home 9-4) 16/1,"in touch in rear of main group, ridden over 5f out and soon struggling, behind final 3f",,,"in touch, headway and close up halfway, pushed along 3f out, ridden over 2f out and soon beaten",Gd,7,": :8:1:0:1:£2,264:£3,803: 34 : 62 : 49",4/5 (80.25L Maid In Rio 8-6) 15/2,,St,5¼,,5.0,7.0,Cfd,9-2,10-1,9-4,2015-04-08,,8-5,9-6,49,23,21,58,Std,4/10 (30.25L Sakhee's Rose 9-7) 50/1,  Rudridge Ltd Handicap  (Div I)  (CLASS 6) (4yo+ 0-55) ,67,9,13,11,St,6.0,,1K,1K,4,8,2K,3¼,,,All-weather,Rules Races,7.0,8.0,ANGEL ROSA,"with leader to over 2f out, soon ridden and beaten, tailed off",Wol,4,6.0,,7/9 (24L Emerahldz 9-2) 25/1,2K,Crl,Mus
Won this in 2013 but usual headgear missing and on stiff mark after layoff.,,,5:30,Flat Turf,"tracked leading quartet, ridden over 2f out, progress over 1f out, ran on to lead last 75yds, just held on",½,7.0,Wdr,C6Hc 1K,C5Hc 2K,C4Hc 4K,  Crystal Palace Football Club Handicap  (CLASS 5) (4yo+ 0-75) ,1,C5Hc 2K,C5Hc 1K,Fm,Lingfield (AW),0.0,"  Shining Glitter ended last season in good form and could have more to offer this year but today´s drop back in trip may not be ideal and preference is for TILSTARR , who ran better than the bare form suggests when making the running over 1m recently and is now 5lb lower than when winning this race in 2014. ",3,Owner: R. F. Haynes(CLOSE),1K,"(IRE) b. F, 2007 {1-l} DP = 3-3-6-0-0 (12)  DI = 3.00  CD = 0.75",9.0,"won Haydock Sprint Cup; a leading sire, excellent record with 2yos but progeny train on well",1/8 (shd Rainbow Beauty 9-0) p 7/1,": :27:2:4:6:£5,317:£11,776: 80 : 80 : 70",0.0,"soon tracked leaders, ridden 3f out, progress under pressure 2f out, chased leader 1f out, sustained challenge to lead post",2015-04-08 10:02:23.523413,7,GS,2,,4K,4.0,": :5:0:1:1:£0:£1,383: 93 : 100 : 103",,1,13,12/12 (34L Starwatch 9-10) p 16/1,chased leaders until weakened 2f out,0.75,: :1:0:0:1:£0:£630: 76 : 103 : 103,"led, ridden and joined when nudged by rival 2f out, headed briefly 1f out, driven and headed last 100yds, kept on",GF,2,": :33:4:4:2:£13,592:£19,561: 82 : 83 : 70",2/7 (0.5L Panettone 9-1) b 8/1,3.00,GF,,,0.0,0.0,Nby,9-2,8-13,8-10,2015-04-08,": :66:6:9:10:£18,909:£33,350: - : - : -",8-10,9-7,70,34,201,0,Std,1/13 (nse Bertie Moon 9-6) p 7/2F,  Crystal Palace Football Club Handicap  (CLASS 5) (4yo+ 0-75) ,85,8,8,12,GS,6.0,,2K,1K,2,4,2K,,Chase,Rules Races,All-weather,Hurdle,0.0,10.0,IF I WERE A BOY,"tracked leaders, led well over 2f out, soon ridden, strongly challenged final furlong, headed final strides",Wdr,8,8.0,,2/8 (shd Cataria Girl 9-6) p 5/1,4K,Bat,Wdr
"Can go well fresh, likes this C&D and is on workable mark; one to consider.",,,5:30,Flat Turf,"disputed 4th, ridden 2f out, disputed 3rd briefly over 1f out, kept on same pace final furlong",4,1.0,Goo,C53yHc 2K,C43yHc 6K,C5Hc 3K,  Crystal Palace Football Club Handicap  (CLASS 5) (4yo+ 0-75) ,4,C5Hc 3K,C53yHc 2K,Gd,Lingfield (AW),0.0,"  Shining Glitter ended last season in good form and could have more to offer this year but today´s drop back in trip may not be ideal and preference is for TILSTARR , who ran better than the bare form suggests when making the running over 1m recently and is now 5lb lower than when winning this race in 2014. ",4,(CLOSE),2K,,3.0,"top-class 6-10f winner at 2-3, won Eclipse Stakes; progeny progress well; standing in South Africa",4/6 (50.5L Serena Grae 9-5) 6/1,": :9:1:2:1:£3,235:£6,098: 67 : 76 : 70",0.0,"in touch in midfield, switched left and headway to challenge over 1f out, led inside final furlong, soon headed and one pace final 100yds",2015-04-08 10:02:23.526724,11,St,7,4,4K,9.0,": :15:1:2:3:£3,235:£7,949: - : - : -",,2,10,7/10 (7L All Talk N No Do 9-5) p 10/1,"held up in touch in last trio, forced to go very wide and effort 2f out, kept on final furlong, never a threat",,,"in touch in midfield, effort but stuck wide bend 2f out, kept on but no impression from over 1f out",St,3,": :6:0:0:2:£0:£1,852: 45 : 74 : 70",8/11 (4L Grasped 9-13) 12/1,,St,5½,,1.0,0.0,Lin,9-3,8-13,9-3,2015-04-08,,9-0,9-5,70,7,160,65,Std,2/10 (10.25L Zugzwang 9-4) 8/1,  Crystal Palace Football Club Handicap  (CLASS 5) (4yo+ 0-75) ,87,6,6,10,Gd,9.0,,3K,2K,8,7,6K,1¼,,,All-weather,Rules Races,0.0,10.0,STARLIT CANTATA,"in touch, ridden and every chance 2f out, soon held by winner, kept on same pace final furlong",Lin,4,7.0,,3/6 (4L Thatchereen 8-12) 8/1,3K,Nby,Lin
Ended last season with 1m4f maiden win; drop back in trip not sure to suit.,,,5:30,Flat Turf,"in touch in midfield, chased winner over 1f out, no impression but clear 2nd final furlong, kept on",10½,3.0,Kem,C5Hc 2K,C5Md 2K,C5Md 2K,  Crystal Palace Football Club Handicap  (CLASS 5) (4yo+ 0-75) ,2,C5Md 2K,C5Hc 3K,St,Lingfield (AW),2.0,"  Shining Glitter ended last season in good form and could have more to offer this year but today´s drop back in trip may not be ideal and preference is for TILSTARR , who ran better than the bare form suggests when making the running over 1m recently and is now 5lb lower than when winning this race in 2014. ",1,"Owner: Jose Angel Perez  Breeder: University of Florida FoundationState Bred: FL Winnings: 5 Starts: 1 - 0 - 1, $7,150Race record last updated 2/28/13.(CLOSE)",2K,"(USA) ch. M, 2008 {9-c} DP = 8-3-5-2-0 (18)  DI = 3.00  CD = 0.94 - 5 Starts, 1 Wins, 0 Places, 1 Shows   $7,150",1.0,"hugely talented multiple G1 winner, family of Street Cry; good record with 2yos, progeny progress",2/10 (30.25L Sweeping Up 9-0) 100/30,": :5:1:2:0:£2,588:£4,392: 67 : 76 : 74",2.0,"held up in midfield, not clear run over 2f out, driven and progress over 1f out, took 2nd inside final furlong, kept on but no impression on winner last 75yds",2015-04-08 10:02:23.519462,8,St,1,1¼,4K,4.0,": :7:1:2:0:£2,588:£4,392: - : - : -",,2,9,1/7 (nk Sea Vision 9-12) 2/1,"held up in touch, headway on outer 3f out, ridden to challenge 2f out, soon clear with leader, led 1f out, kept on and always just holding rival after, ridden out",0.94,,"held up in rear, driven over 3f out, faded over 1f out",Sf,4,: :2:0:0:0:£0:£0: 14 : 66 : 74,7/8 (100.5L Allegria 8-8) 10/1,3.00,St,3¼,,2.0,0.0,Kem,8-11,9-0,8-11,2015-04-08,,8-8,8-5,74,,183,74,Std,2/9 (1L Sleeper 9-0) 7/2,  Crystal Palace Football Club Handicap  (CLASS 5) (4yo+ 0-75) ,86,11,10,7,St,7.0,,2K,3K,7,8,2K,1,,,All-weather,Rules Races,2.0,10.0,SHINING GLITTER,"in touch in midfield, headway and switched left over 1f out, stayed on strongly final 100yds, not reach leaders",Kem,4,1.0,,4/11 (10.25L Grasped 9-13) 16/1,2K,Lin,Hay
Won in good style over C&D last month and didn´t enjoy run of race latest.,,,5:00,Flat Turf,"held up in touch in rear, ridden and effort 2f out, headway to lead inside final furlong, soon in command, pushed out towards finish",11,6.0,Lin,C5Hc 2K,C5Hc 3K,C5Hc 3K,  South London & Proud Fillies´ Handicap  (CLASS 5) (4yo+ 0-75) ,1,C4Hc 5K,C5Hc 2K,Sf,Lingfield (AW),8.0," The suggestion is LADY MARL , who met traffic and was arguably a shade unfortunate off today´s mark over C&D 12 days ago. ",1,Owner: Sir Eric Parker(CLOSE),2K,"(GB) b. F, 2011 {10-b} DP = 5-2-15-4-0 (26)  DI = 1.26  CD = 0.31",10.0,"useful 7f 2yo, multiple 10-12f Gr1 winner at 4, from excellent family; sold to South Africa 2015",1/4 (2L Starlight Symphony 9-5) h 5/4F,": :6:2:0:0:£6,146:£6,588: 59 : 78 : 72",8.0,"took keen hold, held up in rear, progress on outer over 1f out, closed on leaders inside final furlong, one pace last 100yds",2015-04-08 10:02:23.688601,9,St,4,6¼,4K,4.0,": :13:3:0:0:£9,057:£10,437: - : - : -",,4,13,4/9 (2L Chelwood Gate 9-7) h 5/1,"held up in midfield, lost place and in last trio over 2f out, progress over 1f out and pushed along, not clear run just inside final furlong and switched left, still pushed along and kept on, never threatened to challenge",0.31,,"led at good pace, ridden and raced awkwardly over 2f out, soon headed, weakened over 1f out",Hy,8,": :7:1:0:0:£2,911:£3,849: 52 : 72 : 72",4/9 (11L Tullia 8-12) h 9/1,1.26,St,2,,8.0,5.0,Lin,8-13,9-1,9-4,2015-04-08,,8-10,8-13,72,2,12,66,Std,4/13 (10.75L Gracious George 9-2) 33/1,  South London & Proud Fillies´ Handicap  (CLASS 5) (4yo+ 0-75) ,85,8,4,9,St,1.0,,5K,2K,4,5,3K,1¾,,,All-weather,Rules Races,5.0,8.0,LADY MARL,"tracked leader to over 1f out, weakened quickly final furlong",Kem,4,2.0,,8/8 (60.25L Craftsmanship 9-4) 10/1,3K,Wdr,Wdr
